theme,link,lines,image
passion,/inspirational-quotes/7807-passion-is-one-great-force-that-unleashes,"Passion is one great force that unleashes creativity, because if you're passionate about something, then you're more willing to take risks. #<Author:0x007f8831d35430>",https://quotes.values.com/quote_artwork/7807/medium/20180907_friday_quote_updated.jpg?1535745093
passion,/inspirational-quotes/7806-purpose-is-the-reason-you-journey-passion-is,Purpose is the reason you journey. Passion is the fire that lights the way. #<Author:0x007f8832b22c00>,https://quotes.values.com/quote_artwork/7806/medium/20180906_thursday_quote.jpg?1535738225
passion,/inspirational-quotes/7805-nothing-is-as-important-as-passion-no-matter,"Nothing is as important as passion. No matter what you want to do with your life, be passionate. #<Author:0x007f8832aa39f0>",https://quotes.values.com/quote_artwork/7805/medium/20180905_wendesday_quote.jpg?1535738199
passion,/inspirational-quotes/7065-every-great-dream-begins-with-a-dreamer-always,"Every great dream begins with a dreamer. Always remember you have within you the strength, the patience and the passion to reach for the stars, to change the world. #<Author:0x007f8832b71378>",https://quotes.values.com/quote_artwork/7065/medium/20180904_tuesday_quote.jpg?1535738157
passion,/inspirational-quotes/7804-passion-is-energy-feel-the-power-that-comes,Passion is energy. Feel the power that comes from focusing on what excites you. #<Author:0x007f88327a9f10>,https://quotes.values.com/quote_artwork/7804/medium/20180903_monday_quote.jpg?1535738128
including,/inspirational-quotes/7803-i-think-tolerance-and-acceptance-and-love-is,I think tolerance and acceptance and love is something that feeds every community. #<Author:0x007f88318f4880>,https://quotes.values.com/quote_artwork/7803/medium/20180831_friday_quote.jpg?1535142290
including,/inspirational-quotes/7802-our-uniqueness-our-individuality-and-our-life,"Our uniqueness, our individuality, and our life experience molds us into fascinating beings. I pray we may all challenge ourselves to delve into the deepest resources of our hearts to cultivate an atmosphere of understanding, acceptance, tolerance, and compassion. We are all in this life together. #<Author:0x007f8831d2af80>",https://quotes.values.com/quote_artwork/7802/medium/20180830_thursday_quote.jpg?1535142254
including,/inspirational-quotes/7801-true-belonging-doesn-t-require-you-to-change,True belonging doesnâ€™t require you to change who you are; it requires you to be who you are. #<Author:0x007f882cbd7048>,https://quotes.values.com/quote_artwork/7801/medium/20180829_wednesday_quote.jpg?1535142217
including,/inspirational-quotes/7800-our-job-on-earth-isnt-to-criticize-reject-or,"Our job on earth isn't to criticize, reject, or judge. Our purpose is to offer a helping hand, compassion, and mercy. We are to do unto others as we hope they would do unto us. #<Author:0x007f88312dcf10>",https://quotes.values.com/quote_artwork/7800/medium/20180828_tuesday_quote.jpg?1535142192
including,/inspirational-quotes/7799-i-believe-that-the-greatest-kindness-is,I believe that the greatest kindness is acceptance. #<Author:0x007f8832dfe5f0>,https://quotes.values.com/quote_artwork/7799/medium/20180827_monday_quote_alternate.jpg?1535146214
spread,/inspirational-quotes/6743-and-the-day-came-when-the-risk-to-remain-tight,And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom. #<Author:0x007f8833780308>,https://quotes.values.com/quote_artwork/6743/medium/20180824_friday_quote.jpg?1534439241
spread,/inspirational-quotes/3586-a-mind-that-is-stretched-by-a-new-experience,A mind that is stretched by a new experience can never go back to its old dimensions. #<Author:0x007f883361c430>,https://quotes.values.com/quote_artwork/3586/medium/20180823_thursday_quote.jpg?1534439212
spread,/inspirational-quotes/7798-it-is-important-to-remember-that-we-cannot,"It is important to remember that we cannot become what we need to be, by remaining what we are. #<Author:0x007f883229f038>",https://quotes.values.com/quote_artwork/7798/medium/20180822_wednesday_quote.jpg?1534439132
spread,/inspirational-quotes/7797-live-your-life-by-a-compass-not-a-clock,"Live your life by a compass, not a clock. #<Author:0x007f8832099a18>",https://quotes.values.com/quote_artwork/7797/medium/20180821_tuesday_quote.jpg?1534439188
spread,/inspirational-quotes/6720-no-one-can-really-predict-to-what-heights-you,No one can really predict to what heights you might soar. Even you will not know until you spread your wings. #<Author:0x007f8839068e70>,https://quotes.values.com/quote_artwork/6720/medium/20180820_monday_quote.jpg?1534439162
courtesy,/inspirational-quotes/3231-courtesies-of-a-small-and-trivial-character-are,Courtesies of a small and trivial character are the ones which strike deepest in the grateful and appreciating heart. #<Author:0x007f882c35eab0>,https://quotes.values.com/quote_artwork/3231/medium/20180817_friday_quote.jpg?1533918857
